"metric" "n_bands" "simulation" "n" "method" "value"
"time.elapsed" "1" "25" "45" "LASSO" 1e-04
"time.user.child" "1" "25" "45" "LASSO" 1e-04
"time.sys.child" "1" "25" "45" "LASSO" 1e-04
"cv.iters" "1" "25" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "25" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "25" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "25" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "25" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "25" "45" "LASSO" 1e-04
"n.cv.par" "1" "25" "45" "LASSO" 1e-04
"lambda" "7" "25" "45" "LASSO" 1e-04
"lambdar0" "7" "25" "45" "LASSO" 1e-04
"kappa" "7" "25" "45" "LASSO" 1e-04
"condnum" "7" "25" "45" "LASSO" 1e-04
"EL" "7" "25" "45" "LASSO" 1e-04
"RMSE" "7" "25" "45" "LASSO" 1e-04
"F1" "7" "25" "45" "LASSO" 1e-04
"eTPR" "7" "25" "45" "LASSO" 1e-04
"eTNR" "7" "25" "45" "LASSO" 1e-04
"ePPV" "7" "25" "45" "LASSO" 1e-04
"d" "7" "25" "45" "LASSO" 1e-04
"iters" "7" "25" "45" "LASSO" 1e-04
"time.user.self" "7" "25" "45" "LASSO" 1e-04
"time.sys.self" "7" "25" "45" "LASSO" 1e-04
"time.elapsed" "7" "25" "45" "LASSO" 1e-04
"time.user.child" "7" "25" "45" "LASSO" 1e-04
"time.sys.child" "7" "25" "45" "LASSO" 1e-04
"cv.iters" "7" "25" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "25" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "25" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "25" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "25" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "25" "45" "LASSO" 1e-04
"n.cv.par" "7" "25" "45" "LASSO" 1e-04
"lambda" "1" "26" "45" "LASSO" 1e-04
"lambdar0" "1" "26" "45" "LASSO" 1e-04
"kappa" "1" "26" "45" "LASSO" 1e-04
"condnum" "1" "26" "45" "LASSO" 1e-04
"EL" "1" "26" "45" "LASSO" 1e-04
"RMSE" "1" "26" "45" "LASSO" 1e-04
"F1" "1" "26" "45" "LASSO" 1e-04
"eTPR" "1" "26" "45" "LASSO" 1e-04
"eTNR" "1" "26" "45" "LASSO" 1e-04
"ePPV" "1" "26" "45" "LASSO" 1e-04
"d" "1" "26" "45" "LASSO" 1e-04
"iters" "1" "26" "45" "LASSO" 1e-04
"time.user.self" "1" "26" "45" "LASSO" 1e-04
"time.sys.self" "1" "26" "45" "LASSO" 1e-04
"time.elapsed" "1" "26" "45" "LASSO" 1e-04
"time.user.child" "1" "26" "45" "LASSO" 1e-04
"time.sys.child" "1" "26" "45" "LASSO" 1e-04
"cv.iters" "1" "26" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "26" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "26" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "26" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "26" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "26" "45" "LASSO" 1e-04
"n.cv.par" "1" "26" "45" "LASSO" 1e-04
"lambda" "7" "26" "45" "LASSO" 1e-04
"lambdar0" "7" "26" "45" "LASSO" 1e-04
"kappa" "7" "26" "45" "LASSO" 1e-04
"condnum" "7" "26" "45" "LASSO" 1e-04
"EL" "7" "26" "45" "LASSO" 1e-04
"RMSE" "7" "26" "45" "LASSO" 1e-04
"F1" "7" "26" "45" "LASSO" 1e-04
"eTPR" "7" "26" "45" "LASSO" 1e-04
"eTNR" "7" "26" "45" "LASSO" 1e-04
"ePPV" "7" "26" "45" "LASSO" 1e-04
"d" "7" "26" "45" "LASSO" 1e-04
"iters" "7" "26" "45" "LASSO" 1e-04
"time.user.self" "7" "26" "45" "LASSO" 1e-04
"time.sys.self" "7" "26" "45" "LASSO" 1e-04
"time.elapsed" "7" "26" "45" "LASSO" 1e-04
"time.user.child" "7" "26" "45" "LASSO" 1e-04
"time.sys.child" "7" "26" "45" "LASSO" 1e-04
"cv.iters" "7" "26" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "26" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "26" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "26" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "26" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "26" "45" "LASSO" 1e-04
"n.cv.par" "7" "26" "45" "LASSO" 1e-04
"lambda" "1" "27" "45" "LASSO" 1e-04
"lambdar0" "1" "27" "45" "LASSO" 1e-04
"kappa" "1" "27" "45" "LASSO" 1e-04
"condnum" "1" "27" "45" "LASSO" 1e-04
"EL" "1" "27" "45" "LASSO" 1e-04
"RMSE" "1" "27" "45" "LASSO" 1e-04
"F1" "1" "27" "45" "LASSO" 1e-04
"eTPR" "1" "27" "45" "LASSO" 1e-04
"eTNR" "1" "27" "45" "LASSO" 1e-04
"ePPV" "1" "27" "45" "LASSO" 1e-04
"d" "1" "27" "45" "LASSO" 1e-04
"iters" "1" "27" "45" "LASSO" 1e-04
"time.user.self" "1" "27" "45" "LASSO" 1e-04
"time.sys.self" "1" "27" "45" "LASSO" 1e-04
"time.elapsed" "1" "27" "45" "LASSO" 1e-04
"time.user.child" "1" "27" "45" "LASSO" 1e-04
"time.sys.child" "1" "27" "45" "LASSO" 1e-04
"cv.iters" "1" "27" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "27" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "27" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "27" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "27" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "27" "45" "LASSO" 1e-04
"n.cv.par" "1" "27" "45" "LASSO" 1e-04
"lambda" "7" "27" "45" "LASSO" 1e-04
"lambdar0" "7" "27" "45" "LASSO" 1e-04
"kappa" "7" "27" "45" "LASSO" 1e-04
"condnum" "7" "27" "45" "LASSO" 1e-04
"EL" "7" "27" "45" "LASSO" 1e-04
"RMSE" "7" "27" "45" "LASSO" 1e-04
"F1" "7" "27" "45" "LASSO" 1e-04
"eTPR" "7" "27" "45" "LASSO" 1e-04
"eTNR" "7" "27" "45" "LASSO" 1e-04
"ePPV" "7" "27" "45" "LASSO" 1e-04
"d" "7" "27" "45" "LASSO" 1e-04
"iters" "7" "27" "45" "LASSO" 1e-04
"time.user.self" "7" "27" "45" "LASSO" 1e-04
"time.sys.self" "7" "27" "45" "LASSO" 1e-04
"time.elapsed" "7" "27" "45" "LASSO" 1e-04
"time.user.child" "7" "27" "45" "LASSO" 1e-04
"time.sys.child" "7" "27" "45" "LASSO" 1e-04
"cv.iters" "7" "27" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "27" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "27" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "27" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "27" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "27" "45" "LASSO" 1e-04
"n.cv.par" "7" "27" "45" "LASSO" 1e-04
"lambda" "1" "28" "45" "LASSO" 1e-04
"lambdar0" "1" "28" "45" "LASSO" 1e-04
"kappa" "1" "28" "45" "LASSO" 1e-04
"condnum" "1" "28" "45" "LASSO" 1e-04
"EL" "1" "28" "45" "LASSO" 1e-04
"RMSE" "1" "28" "45" "LASSO" 1e-04
"F1" "1" "28" "45" "LASSO" 1e-04
"eTPR" "1" "28" "45" "LASSO" 1e-04
"eTNR" "1" "28" "45" "LASSO" 1e-04
"ePPV" "1" "28" "45" "LASSO" 1e-04
"d" "1" "28" "45" "LASSO" 1e-04
"iters" "1" "28" "45" "LASSO" 1e-04
"time.user.self" "1" "28" "45" "LASSO" 1e-04
"time.sys.self" "1" "28" "45" "LASSO" 1e-04
"time.elapsed" "1" "28" "45" "LASSO" 1e-04
"time.user.child" "1" "28" "45" "LASSO" 1e-04
"time.sys.child" "1" "28" "45" "LASSO" 1e-04
"cv.iters" "1" "28" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "28" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "28" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "28" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "28" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "28" "45" "LASSO" 1e-04
"n.cv.par" "1" "28" "45" "LASSO" 1e-04
"lambda" "7" "28" "45" "LASSO" 1e-04
"lambdar0" "7" "28" "45" "LASSO" 1e-04
"kappa" "7" "28" "45" "LASSO" 1e-04
"condnum" "7" "28" "45" "LASSO" 1e-04
"EL" "7" "28" "45" "LASSO" 1e-04
"RMSE" "7" "28" "45" "LASSO" 1e-04
"F1" "7" "28" "45" "LASSO" 1e-04
"eTPR" "7" "28" "45" "LASSO" 1e-04
"eTNR" "7" "28" "45" "LASSO" 1e-04
"ePPV" "7" "28" "45" "LASSO" 1e-04
"d" "7" "28" "45" "LASSO" 1e-04
"iters" "7" "28" "45" "LASSO" 1e-04
"time.user.self" "7" "28" "45" "LASSO" 1e-04
"time.sys.self" "7" "28" "45" "LASSO" 1e-04
"time.elapsed" "7" "28" "45" "LASSO" 1e-04
"time.user.child" "7" "28" "45" "LASSO" 1e-04
"time.sys.child" "7" "28" "45" "LASSO" 1e-04
"cv.iters" "7" "28" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "28" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "28" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "28" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "28" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "28" "45" "LASSO" 1e-04
"n.cv.par" "7" "28" "45" "LASSO" 1e-04
"lambda" "1" "29" "45" "LASSO" 1e-04
"lambdar0" "1" "29" "45" "LASSO" 1e-04
"kappa" "1" "29" "45" "LASSO" 1e-04
"condnum" "1" "29" "45" "LASSO" 1e-04
"EL" "1" "29" "45" "LASSO" 1e-04
"RMSE" "1" "29" "45" "LASSO" 1e-04
"F1" "1" "29" "45" "LASSO" 1e-04
"eTPR" "1" "29" "45" "LASSO" 1e-04
"eTNR" "1" "29" "45" "LASSO" 1e-04
"ePPV" "1" "29" "45" "LASSO" 1e-04
"d" "1" "29" "45" "LASSO" 1e-04
"iters" "1" "29" "45" "LASSO" 1e-04
"time.user.self" "1" "29" "45" "LASSO" 1e-04
"time.sys.self" "1" "29" "45" "LASSO" 1e-04
"time.elapsed" "1" "29" "45" "LASSO" 1e-04
"time.user.child" "1" "29" "45" "LASSO" 1e-04
"time.sys.child" "1" "29" "45" "LASSO" 1e-04
"cv.iters" "1" "29" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "29" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "29" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "29" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "29" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "29" "45" "LASSO" 1e-04
"n.cv.par" "1" "29" "45" "LASSO" 1e-04
"lambda" "7" "29" "45" "LASSO" 1e-04
"lambdar0" "7" "29" "45" "LASSO" 1e-04
"kappa" "7" "29" "45" "LASSO" 1e-04
"condnum" "7" "29" "45" "LASSO" 1e-04
"EL" "7" "29" "45" "LASSO" 1e-04
"RMSE" "7" "29" "45" "LASSO" 1e-04
"F1" "7" "29" "45" "LASSO" 1e-04
"eTPR" "7" "29" "45" "LASSO" 1e-04
"eTNR" "7" "29" "45" "LASSO" 1e-04
"ePPV" "7" "29" "45" "LASSO" 1e-04
"d" "7" "29" "45" "LASSO" 1e-04
"iters" "7" "29" "45" "LASSO" 1e-04
"time.user.self" "7" "29" "45" "LASSO" 1e-04
"time.sys.self" "7" "29" "45" "LASSO" 1e-04
"time.elapsed" "7" "29" "45" "LASSO" 1e-04
"time.user.child" "7" "29" "45" "LASSO" 1e-04
"time.sys.child" "7" "29" "45" "LASSO" 1e-04
"cv.iters" "7" "29" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "29" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "29" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "29" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "29" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "29" "45" "LASSO" 1e-04
"n.cv.par" "7" "29" "45" "LASSO" 1e-04
"lambda" "1" "30" "45" "LASSO" 1e-04
"lambdar0" "1" "30" "45" "LASSO" 1e-04
"kappa" "1" "30" "45" "LASSO" 1e-04
"condnum" "1" "30" "45" "LASSO" 1e-04
"EL" "1" "30" "45" "LASSO" 1e-04
"RMSE" "1" "30" "45" "LASSO" 1e-04
"F1" "1" "30" "45" "LASSO" 1e-04
"eTPR" "1" "30" "45" "LASSO" 1e-04
"eTNR" "1" "30" "45" "LASSO" 1e-04
"ePPV" "1" "30" "45" "LASSO" 1e-04
"d" "1" "30" "45" "LASSO" 1e-04
"iters" "1" "30" "45" "LASSO" 1e-04
"time.user.self" "1" "30" "45" "LASSO" 1e-04
"time.sys.self" "1" "30" "45" "LASSO" 1e-04
"time.elapsed" "1" "30" "45" "LASSO" 1e-04
"time.user.child" "1" "30" "45" "LASSO" 1e-04
"time.sys.child" "1" "30" "45" "LASSO" 1e-04
"cv.iters" "1" "30" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "30" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "30" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "30" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "30" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "30" "45" "LASSO" 1e-04
"n.cv.par" "1" "30" "45" "LASSO" 1e-04
"lambda" "7" "30" "45" "LASSO" 1e-04
"lambdar0" "7" "30" "45" "LASSO" 1e-04
"kappa" "7" "30" "45" "LASSO" 1e-04
"condnum" "7" "30" "45" "LASSO" 1e-04
"EL" "7" "30" "45" "LASSO" 1e-04
"RMSE" "7" "30" "45" "LASSO" 1e-04
"F1" "7" "30" "45" "LASSO" 1e-04
"eTPR" "7" "30" "45" "LASSO" 1e-04
"eTNR" "7" "30" "45" "LASSO" 1e-04
"ePPV" "7" "30" "45" "LASSO" 1e-04
"d" "7" "30" "45" "LASSO" 1e-04
"iters" "7" "30" "45" "LASSO" 1e-04
"time.user.self" "7" "30" "45" "LASSO" 1e-04
"time.sys.self" "7" "30" "45" "LASSO" 1e-04
"time.elapsed" "7" "30" "45" "LASSO" 1e-04
"time.user.child" "7" "30" "45" "LASSO" 1e-04
"time.sys.child" "7" "30" "45" "LASSO" 1e-04
"cv.iters" "7" "30" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "30" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "30" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "30" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "30" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "30" "45" "LASSO" 1e-04
"n.cv.par" "7" "30" "45" "LASSO" 1e-04
"lambda" "1" "21" "75" "LASSO" 0.294123775266173
"lambdar0" "1" "21" "75" "LASSO" 0.95
"kappa" "1" "21" "75" "LASSO" 0
"condnum" "1" "21" "75" "LASSO" 3.69301288330108
"EL" "1" "21" "75" "LASSO" 98.0371747498392
"RMSE" "1" "21" "75" "LASSO" 0.00401351747724739
"F1" "1" "21" "75" "LASSO" 0.25
"eTPR" "1" "21" "75" "LASSO" 0.142857142857143
"eTNR" "1" "21" "75" "LASSO" 1
"ePPV" "1" "21" "75" "LASSO" 1
"d" "1" "21" "75" "LASSO" 0.00571428571428571
"iters" "1" "21" "75" "LASSO" 12
"time.user.self" "1" "21" "75" "LASSO" 0.089999999999975
"time.sys.self" "1" "21" "75" "LASSO" 0
"time.elapsed" "1" "21" "75" "LASSO" 0.0900000000000318
"time.user.child" "1" "21" "75" "LASSO" NA
"time.sys.child" "1" "21" "75" "LASSO" NA
"cv.iters" "1" "21" "75" "LASSO" NA
