"metric" "n_bands" "simulation" "p" "method" "value"
"cv.all.time.user.self" "10" "8" "25" "LASSO" 0.4699999999998
"cv.all.time.sys.self" "10" "8" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "8" "25" "LASSO" 0.509999999999991
"cv.all.time.user.child" "10" "8" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "8" "25" "LASSO" NA
"n.cv.par" "10" "8" "25" "LASSO" 20
"lambda" "10" "9" "25" "LASSO" 0
"lambdar0" "10" "9" "25" "LASSO" 0
"kappa" "10" "9" "25" "LASSO" 0
"condnum" "10" "9" "25" "LASSO" 26.4918660409388
"EL" "10" "9" "25" "LASSO" 0.0958323774540553
"RMSE" "10" "9" "25" "LASSO" 0.00517698963726191
"F1" "10" "9" "25" "LASSO" 1
"eTPR" "10" "9" "25" "LASSO" 1
"eTNR" "10" "9" "25" "LASSO" 1
"ePPV" "10" "9" "25" "LASSO" 1
"d" "10" "9" "25" "LASSO" 0.65
"iters" "10" "9" "25" "LASSO" 14
"time.user.self" "10" "9" "25" "LASSO" 0.0199999999999818
"time.sys.self" "10" "9" "25" "LASSO" 0
"time.elapsed" "10" "9" "25" "LASSO" 0.0100000000002183
"time.user.child" "10" "9" "25" "LASSO" NA
"time.sys.child" "10" "9" "25" "LASSO" NA
"cv.iters" "10" "9" "25" "LASSO" NA
"cv.time.user.self" "10" "9" "25" "LASSO" 0.00529999999999745
"cv.time.sys.self" "10" "9" "25" "LASSO" 0
"cv.time.elapsed" "10" "9" "25" "LASSO" 0.00540000000000191
"cv.time.user.child" "10" "9" "25" "LASSO" NA
"cv.time.sys.child" "10" "9" "25" "LASSO" NA
"cv.all.time.user.self" "10" "9" "25" "LASSO" 0.529999999999745
"cv.all.time.sys.self" "10" "9" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "9" "25" "LASSO" 0.540000000000191
"cv.all.time.user.child" "10" "9" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "9" "25" "LASSO" NA
"n.cv.par" "10" "9" "25" "LASSO" 20
"lambda" "10" "10" "25" "LASSO" 0
"lambdar0" "10" "10" "25" "LASSO" 0
"kappa" "10" "10" "25" "LASSO" 0
"condnum" "10" "10" "25" "LASSO" 24.6158514490706
"EL" "10" "10" "25" "LASSO" 0.0984395548913568
"RMSE" "10" "10" "25" "LASSO" 0.0051981722791643
"F1" "10" "10" "25" "LASSO" 1
"eTPR" "10" "10" "25" "LASSO" 1
"eTNR" "10" "10" "25" "LASSO" 1
"ePPV" "10" "10" "25" "LASSO" 1
"d" "10" "10" "25" "LASSO" 0.65
"iters" "10" "10" "25" "LASSO" 14
"time.user.self" "10" "10" "25" "LASSO" 0.00999999999999091
"time.sys.self" "10" "10" "25" "LASSO" 0
"time.elapsed" "10" "10" "25" "LASSO" 0.0199999999999818
"time.user.child" "10" "10" "25" "LASSO" NA
"time.sys.child" "10" "10" "25" "LASSO" NA
"cv.iters" "10" "10" "25" "LASSO" NA
"cv.time.user.self" "10" "10" "25" "LASSO" 0.00519999999999754
"cv.time.sys.self" "10" "10" "25" "LASSO" 0
"cv.time.elapsed" "10" "10" "25" "LASSO" 0.00549999999998818
"cv.time.user.child" "10" "10" "25" "LASSO" NA
"cv.time.sys.child" "10" "10" "25" "LASSO" NA
"cv.all.time.user.self" "10" "10" "25" "LASSO" 0.519999999999754
"cv.all.time.sys.self" "10" "10" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "10" "25" "LASSO" 0.549999999998818
"cv.all.time.user.child" "10" "10" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "10" "25" "LASSO" NA
"n.cv.par" "10" "10" "25" "LASSO" 20
"lambda" "10" "1" "50" "LASSO" 0.00222849803656012
"lambdar0" "10" "1" "50" "LASSO" 0.1
"kappa" "10" "1" "50" "LASSO" 0
"condnum" "10" "1" "50" "LASSO" 43.4636107972677
"EL" "10" "1" "50" "LASSO" 0.392657509868393
"RMSE" "10" "1" "50" "LASSO" 0.00332350895011139
"F1" "10" "1" "50" "LASSO" 1
"eTPR" "10" "1" "50" "LASSO" 1
"eTNR" "10" "1" "50" "LASSO" 1
"ePPV" "10" "1" "50" "LASSO" 1
"d" "10" "1" "50" "LASSO" 0.363265306122449
"iters" "10" "1" "50" "LASSO" 12
"time.user.self" "10" "1" "50" "LASSO" 0.190000000000055
"time.sys.self" "10" "1" "50" "LASSO" 0
"time.elapsed" "10" "1" "50" "LASSO" 0.179999999999836
"time.user.child" "10" "1" "50" "LASSO" NA
"time.sys.child" "10" "1" "50" "LASSO" NA
"cv.iters" "10" "1" "50" "LASSO" NA
"cv.time.user.self" "10" "1" "50" "LASSO" 0.0631000000000313
"cv.time.sys.self" "10" "1" "50" "LASSO" 0
"cv.time.elapsed" "10" "1" "50" "LASSO" 0.0617000000000053
"cv.time.user.child" "10" "1" "50" "LASSO" NA
"cv.time.sys.child" "10" "1" "50" "LASSO" NA
"cv.all.time.user.self" "10" "1" "50" "LASSO" 6.31000000000313
"cv.all.time.sys.self" "10" "1" "50" "LASSO" 0
"cv.all.time.elapsed" "10" "1" "50" "LASSO" 6.17000000000053
"cv.all.time.user.child" "10" "1" "50" "LASSO" NA
"cv.all.time.sys.child" "10" "1" "50" "LASSO" NA
"n.cv.par" "10" "1" "50" "LASSO" 20
"lambda" "10" "2" "50" "LASSO" 0.00236254872276429
"lambdar0" "10" "2" "50" "LASSO" 0.1
"kappa" "10" "2" "50" "LASSO" 0
"condnum" "10" "2" "50" "LASSO" 47.0773778417687
"EL" "10" "2" "50" "LASSO" 0.367213959705587
"RMSE" "10" "2" "50" "LASSO" 0.00316063107757187
"F1" "10" "2" "50" "LASSO" 1
"eTPR" "10" "2" "50" "LASSO" 1
"eTNR" "10" "2" "50" "LASSO" 1
"ePPV" "10" "2" "50" "LASSO" 1
"d" "10" "2" "50" "LASSO" 0.363265306122449
"iters" "10" "2" "50" "LASSO" 13
"time.user.self" "10" "2" "50" "LASSO" 0.170000000000073
"time.sys.self" "10" "2" "50" "LASSO" 0
"time.elapsed" "10" "2" "50" "LASSO" 0.159999999999854
"time.user.child" "10" "2" "50" "LASSO" NA
"time.sys.child" "10" "2" "50" "LASSO" NA
"cv.iters" "10" "2" "50" "LASSO" NA
"cv.time.user.self" "10" "2" "50" "LASSO" 0.0606000000000222
"cv.time.sys.self" "10" "2" "50" "LASSO" 0
"cv.time.elapsed" "10" "2" "50" "LASSO" 0.061899999999996
"cv.time.user.child" "10" "2" "50" "LASSO" NA
"cv.time.sys.child" "10" "2" "50" "LASSO" NA
"cv.all.time.user.self" "10" "2" "50" "LASSO" 6.06000000000222
"cv.all.time.sys.self" "10" "2" "50" "LASSO" 0
"cv.all.time.elapsed" "10" "2" "50" "LASSO" 6.1899999999996
"cv.all.time.user.child" "10" "2" "50" "LASSO" NA
"cv.all.time.sys.child" "10" "2" "50" "LASSO" NA
"n.cv.par" "10" "2" "50" "LASSO" 20
"lambda" "10" "3" "50" "LASSO" 0.00229752462392459
"lambdar0" "10" "3" "50" "LASSO" 0.1
"kappa" "10" "3" "50" "LASSO" 0
"condnum" "10" "3" "50" "LASSO" 42.4609824951566
"EL" "10" "3" "50" "LASSO" 0.386582340849245
"RMSE" "10" "3" "50" "LASSO" 0.00325865215243406
"F1" "10" "3" "50" "LASSO" 1
