"metric" "n_bands" "simulation" "n" "method" "value"
"time.user.self" "14" "12" "45" "LASSO" 1e-04
"time.sys.self" "14" "12" "45" "LASSO" 1e-04
"time.elapsed" "14" "12" "45" "LASSO" 1e-04
"time.user.child" "14" "12" "45" "LASSO" 1e-04
"time.sys.child" "14" "12" "45" "LASSO" 1e-04
"cv.iters" "14" "12" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "12" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "12" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "12" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "12" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "12" "45" "LASSO" 1e-04
"n.cv.par" "14" "12" "45" "LASSO" 1e-04
"lambda" "14" "13" "45" "LASSO" 1e-04
"lambdar0" "14" "13" "45" "LASSO" 1e-04
"kappa" "14" "13" "45" "LASSO" 1e-04
"condnum" "14" "13" "45" "LASSO" 1e-04
"EL" "14" "13" "45" "LASSO" 1e-04
"RMSE" "14" "13" "45" "LASSO" 1e-04
"F1" "14" "13" "45" "LASSO" 1e-04
"eTPR" "14" "13" "45" "LASSO" 1e-04
"eTNR" "14" "13" "45" "LASSO" 1e-04
"ePPV" "14" "13" "45" "LASSO" 1e-04
"d" "14" "13" "45" "LASSO" 1e-04
"iters" "14" "13" "45" "LASSO" 1e-04
"time.user.self" "14" "13" "45" "LASSO" 1e-04
"time.sys.self" "14" "13" "45" "LASSO" 1e-04
"time.elapsed" "14" "13" "45" "LASSO" 1e-04
"time.user.child" "14" "13" "45" "LASSO" 1e-04
"time.sys.child" "14" "13" "45" "LASSO" 1e-04
"cv.iters" "14" "13" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "13" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "13" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "13" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "13" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "13" "45" "LASSO" 1e-04
"n.cv.par" "14" "13" "45" "LASSO" 1e-04
"lambda" "14" "14" "45" "LASSO" 1e-04
"lambdar0" "14" "14" "45" "LASSO" 1e-04
"kappa" "14" "14" "45" "LASSO" 1e-04
"condnum" "14" "14" "45" "LASSO" 1e-04
"EL" "14" "14" "45" "LASSO" 1e-04
"RMSE" "14" "14" "45" "LASSO" 1e-04
"F1" "14" "14" "45" "LASSO" 1e-04
"eTPR" "14" "14" "45" "LASSO" 1e-04
"eTNR" "14" "14" "45" "LASSO" 1e-04
"ePPV" "14" "14" "45" "LASSO" 1e-04
"d" "14" "14" "45" "LASSO" 1e-04
"iters" "14" "14" "45" "LASSO" 1e-04
"time.user.self" "14" "14" "45" "LASSO" 1e-04
"time.sys.self" "14" "14" "45" "LASSO" 1e-04
"time.elapsed" "14" "14" "45" "LASSO" 1e-04
"time.user.child" "14" "14" "45" "LASSO" 1e-04
"time.sys.child" "14" "14" "45" "LASSO" 1e-04
"cv.iters" "14" "14" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "14" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "14" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "14" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "14" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "14" "45" "LASSO" 1e-04
"n.cv.par" "14" "14" "45" "LASSO" 1e-04
"lambda" "14" "15" "45" "LASSO" 1e-04
"lambdar0" "14" "15" "45" "LASSO" 1e-04
"kappa" "14" "15" "45" "LASSO" 1e-04
"condnum" "14" "15" "45" "LASSO" 1e-04
"EL" "14" "15" "45" "LASSO" 1e-04
"RMSE" "14" "15" "45" "LASSO" 1e-04
"F1" "14" "15" "45" "LASSO" 1e-04
"eTPR" "14" "15" "45" "LASSO" 1e-04
"eTNR" "14" "15" "45" "LASSO" 1e-04
"ePPV" "14" "15" "45" "LASSO" 1e-04
"d" "14" "15" "45" "LASSO" 1e-04
"iters" "14" "15" "45" "LASSO" 1e-04
"time.user.self" "14" "15" "45" "LASSO" 1e-04
"time.sys.self" "14" "15" "45" "LASSO" 1e-04
"time.elapsed" "14" "15" "45" "LASSO" 1e-04
"time.user.child" "14" "15" "45" "LASSO" 1e-04
"time.sys.child" "14" "15" "45" "LASSO" 1e-04
"cv.iters" "14" "15" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "15" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "15" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "15" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "15" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "15" "45" "LASSO" 1e-04
"n.cv.par" "14" "15" "45" "LASSO" 1e-04
"lambda" "14" "16" "45" "LASSO" 1e-04
"lambdar0" "14" "16" "45" "LASSO" 1e-04
"kappa" "14" "16" "45" "LASSO" 1e-04
"condnum" "14" "16" "45" "LASSO" 1e-04
"EL" "14" "16" "45" "LASSO" 1e-04
"RMSE" "14" "16" "45" "LASSO" 1e-04
"F1" "14" "16" "45" "LASSO" 1e-04
"eTPR" "14" "16" "45" "LASSO" 1e-04
"eTNR" "14" "16" "45" "LASSO" 1e-04
"ePPV" "14" "16" "45" "LASSO" 1e-04
"d" "14" "16" "45" "LASSO" 1e-04
"iters" "14" "16" "45" "LASSO" 1e-04
"time.user.self" "14" "16" "45" "LASSO" 1e-04
"time.sys.self" "14" "16" "45" "LASSO" 1e-04
"time.elapsed" "14" "16" "45" "LASSO" 1e-04
"time.user.child" "14" "16" "45" "LASSO" 1e-04
"time.sys.child" "14" "16" "45" "LASSO" 1e-04
"cv.iters" "14" "16" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "16" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "16" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "16" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "16" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "16" "45" "LASSO" 1e-04
"n.cv.par" "14" "16" "45" "LASSO" 1e-04
"lambda" "14" "17" "45" "LASSO" 1e-04
"lambdar0" "14" "17" "45" "LASSO" 1e-04
"kappa" "14" "17" "45" "LASSO" 1e-04
"condnum" "14" "17" "45" "LASSO" 1e-04
"EL" "14" "17" "45" "LASSO" 1e-04
"RMSE" "14" "17" "45" "LASSO" 1e-04
"F1" "14" "17" "45" "LASSO" 1e-04
"eTPR" "14" "17" "45" "LASSO" 1e-04
"eTNR" "14" "17" "45" "LASSO" 1e-04
"ePPV" "14" "17" "45" "LASSO" 1e-04
"d" "14" "17" "45" "LASSO" 1e-04
"iters" "14" "17" "45" "LASSO" 1e-04
"time.user.self" "14" "17" "45" "LASSO" 1e-04
"time.sys.self" "14" "17" "45" "LASSO" 1e-04
"time.elapsed" "14" "17" "45" "LASSO" 1e-04
"time.user.child" "14" "17" "45" "LASSO" 1e-04
