"metric" "n_bands" "simulation" "p" "method" "value"
"EL" "10" "3" "25" "LASSO" 0.101413441696433
"RMSE" "10" "3" "25" "LASSO" 0.00529609063155358
"F1" "10" "3" "25" "LASSO" 1
"eTPR" "10" "3" "25" "LASSO" 1
"eTNR" "10" "3" "25" "LASSO" 1
"ePPV" "10" "3" "25" "LASSO" 1
"d" "10" "3" "25" "LASSO" 0.65
"iters" "10" "3" "25" "LASSO" 15
"time.user.self" "10" "3" "25" "LASSO" 0
"time.sys.self" "10" "3" "25" "LASSO" 0
"time.elapsed" "10" "3" "25" "LASSO" 0.0100000000093132
"time.user.child" "10" "3" "25" "LASSO" NA
"time.sys.child" "10" "3" "25" "LASSO" NA
"cv.iters" "10" "3" "25" "LASSO" NA
"cv.time.user.self" "10" "3" "25" "LASSO" 0.00370000000024447
"cv.time.sys.self" "10" "3" "25" "LASSO" 0
"cv.time.elapsed" "10" "3" "25" "LASSO" 0.0039000000001397
"cv.time.user.child" "10" "3" "25" "LASSO" NA
"cv.time.sys.child" "10" "3" "25" "LASSO" NA
"cv.all.time.user.self" "10" "3" "25" "LASSO" 0.370000000024447
"cv.all.time.sys.self" "10" "3" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "3" "25" "LASSO" 0.39000000001397
"cv.all.time.user.child" "10" "3" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "3" "25" "LASSO" NA
"n.cv.par" "10" "3" "25" "LASSO" 20
"lambda" "3" "4" "25" "LASSO" 0
"lambdar0" "3" "4" "25" "LASSO" 0
"kappa" "3" "4" "25" "LASSO" 0
"condnum" "3" "4" "25" "LASSO" 26.4186941978854
"EL" "3" "4" "25" "LASSO" 0.0535369571768953
"RMSE" "3" "4" "25" "LASSO" 0.00234190945504359
"F1" "3" "4" "25" "LASSO" 1
"eTPR" "3" "4" "25" "LASSO" 1
"eTNR" "3" "4" "25" "LASSO" 1
"ePPV" "3" "4" "25" "LASSO" 1
"d" "3" "4" "25" "LASSO" 0.23
"iters" "3" "4" "25" "LASSO" 11
"time.user.self" "3" "4" "25" "LASSO" 0.0200000000000387
"time.sys.self" "3" "4" "25" "LASSO" 0
"time.elapsed" "3" "4" "25" "LASSO" 0
"time.user.child" "3" "4" "25" "LASSO" NA
"time.sys.child" "3" "4" "25" "LASSO" NA
"cv.iters" "3" "4" "25" "LASSO" NA
"cv.time.user.self" "3" "4" "25" "LASSO" 0.00310000000000457
"cv.time.sys.self" "3" "4" "25" "LASSO" 0
"cv.time.elapsed" "3" "4" "25" "LASSO" 0.00300000000017462
"cv.time.user.child" "3" "4" "25" "LASSO" NA
"cv.time.sys.child" "3" "4" "25" "LASSO" NA
"cv.all.time.user.self" "3" "4" "25" "LASSO" 0.310000000000457
"cv.all.time.sys.self" "3" "4" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "4" "25" "LASSO" 0.300000000017462
"cv.all.time.user.child" "3" "4" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "4" "25" "LASSO" NA
"n.cv.par" "3" "4" "25" "LASSO" 20
"lambda" "10" "4" "25" "LASSO" 0
"lambdar0" "10" "4" "25" "LASSO" 0
"kappa" "10" "4" "25" "LASSO" 0
"condnum" "10" "4" "25" "LASSO" 24.2473473846132
"EL" "10" "4" "25" "LASSO" 0.107943809125423
"RMSE" "10" "4" "25" "LASSO" 0.00540894339554317
