"metric" "n_bands" "simulation" "n" "method" "value"
"kappa" "A" "V" "A" "MLE" 1e-04
"condnum" "A" "V" "A" "MLE" 1e-04
"EL" "A" "V" "A" "MLE" 1e-04
"RMSE" "A" "V" "A" "MLE" 1e-04
"kappa" "B" "V" "A" "MLE" 1e-04
"condnum" "B" "V" "A" "MLE" 1e-04
"EL" "B" "V" "A" "MLE" 1e-04
"RMSE" "B" "V" "A" "MLE" 1e-04
"kappa" "C" "V" "A" "MLE" 1e-04
"condnum" "C" "V" "A" "MLE" 1e-04
"EL" "C" "V" "A" "MLE" 1e-04
"RMSE" "C" "V" "A" "MLE" 1e-04
"kappa" "A" "W" "A" "MLE" 1e-04
"condnum" "A" "W" "A" "MLE" 1e-04
"EL" "A" "W" "A" "MLE" 1e-04
"RMSE" "A" "W" "A" "MLE" 1e-04
"kappa" "B" "W" "A" "MLE" 1e-04
"condnum" "B" "W" "A" "MLE" 1e-04
"EL" "B" "W" "A" "MLE" 1e-04
"RMSE" "B" "W" "A" "MLE" 1e-04
"kappa" "C" "W" "A" "MLE" 1e-04
"condnum" "C" "W" "A" "MLE" 1e-04
"EL" "C" "W" "A" "MLE" 1e-04
"RMSE" "C" "W" "A" "MLE" 1e-04
"kappa" "A" "X" "A" "MLE" 1e-04
"condnum" "A" "X" "A" "MLE" 1e-04
"EL" "A" "X" "A" "MLE" 1e-04
"RMSE" "A" "X" "A" "MLE" 1e-04
"kappa" "B" "X" "A" "MLE" 1e-04
"condnum" "B" "X" "A" "MLE" 1e-04
"EL" "B" "X" "A" "MLE" 1e-04
"RMSE" "B" "X" "A" "MLE" 1e-04
"kappa" "C" "X" "A" "MLE" 1e-04
"condnum" "C" "X" "A" "MLE" 1e-04
"EL" "C" "X" "A" "MLE" 1e-04
"RMSE" "C" "X" "A" "MLE" 1e-04
"kappa" "A" "Y" "A" "MLE" 1e-04
"condnum" "A" "Y" "A" "MLE" 1e-04
"EL" "A" "Y" "A" "MLE" 1e-04
"RMSE" "A" "Y" "A" "MLE" 1e-04
"kappa" "B" "Y" "A" "MLE" 1e-04
"condnum" "B" "Y" "A" "MLE" 1e-04
"EL" "B" "Y" "A" "MLE" 1e-04
"RMSE" "B" "Y" "A" "MLE" 1e-04
"kappa" "C" "Y" "A" "MLE" 1e-04
"condnum" "C" "Y" "A" "MLE" 1e-04
"EL" "C" "Y" "A" "MLE" 1e-04
"RMSE" "C" "Y" "A" "MLE" 1e-04
"kappa" "A" "Z" "A" "MLE" 1e-04
"condnum" "A" "Z" "A" "MLE" 1e-04
"EL" "A" "Z" "A" "MLE" 1e-04
"RMSE" "A" "Z" "A" "MLE" 1e-04
"kappa" "B" "Z" "A" "MLE" 1e-04
"condnum" "B" "Z" "A" "MLE" 1e-04
"EL" "B" "Z" "A" "MLE" 1e-04
"RMSE" "B" "Z" "A" "MLE" 1e-04
"kappa" "C" "Z" "A" "MLE" 1e-04
"condnum" "C" "Z" "A" "MLE" 1e-04
"EL" "C" "Z" "A" "MLE" 1e-04
"RMSE" "C" "Z" "A" "MLE" 1e-04
"kappa" "A" "A1" "A" "MLE" 1e-04
"condnum" "A" "A1" "A" "MLE" 1e-04
"EL" "A" "A1" "A" "MLE" 1e-04
"RMSE" "A" "A1" "A" "MLE" 1e-04
"kappa" "B" "A1" "A" "MLE" 1e-04
"condnum" "B" "A1" "A" "MLE" 1e-04
"EL" "B" "A1" "A" "MLE" 1e-04
"RMSE" "B" "A1" "A" "MLE" 1e-04
"kappa" "C" "A1" "A" "MLE" 1e-04
"condnum" "C" "A1" "A" "MLE" 1e-04
